"","Entidad","distrito","Clave Federal","Porcentaje Población Estatal","Porcentaje Población 60+","Densidad de Población (km²)","Estimador Viviendas Particulares","Población Autoadscrita Indígena","Población Aut. Afrodescendiente","Índice Étnico","Aprox. Distancia Mínima","ANP Cercana"
"18",5,3,503,0.1417130442,0.1053659701,21.86796066,118759,0.05304597015,0.00018865672,0.100821417701499,0.644319487402426,13
"19",5,4,504,0.1517393901,0.08579387435,248.2428406,120851,0.06823722002,0.00113966595,0.12928300259857,0.19388057607553,14
"20",5,5,505,0.1244949516,0.1555894442,4358.663652,105976,0.05837356472,8.426844e-05,0.110090867902948,0.733968792840634,72
"21",5,6,506,0.1495339121,0.06248132893,73.30808127,118550,0.1083397456,0.00013805278,0.193450644483385,1,72
"22",5,7,507,0.1488032651,0.09684535628,23.08516053,114663,0.07736166167,0.00087332073,0.144363662943431,0.831483720817459,14
"23",6,1,601,0.5053294621,0.1128550283,154.7965136,108056,0.1897147531,0.00059542359,0.308410347955175,0.0512285793971193,64
"24",6,2,602,0.4946705379,0.08991350863,101.949345,97187,0.2191759018,0.0015575837,0.344703197382196,0.323701821090535,141
"25",7,1,701,0.07359347846,0.07562681639,55.22343416,85781,0.7467292007,0.000111978,0.378306099480861,0.0166444812677741,81
"26",7,2,702,0.07299419614,0.05656681816,115.3177484,78270,0.7731839938,0.0027567955,0.351976381910546,0.250704202003389,11
"27",7,3,703,0.07469717749,0.05053327278,29.56160253,75037,0.8398231746,0.00019499029,0.269102809818401,0.152744753403782,8
"28",7,4,704,0.0727199483,0.08488691408,60.41752074,93708,0.3212446567,0.00087495981,0.437279290666481,0.325210910192016,139
"29",7,5,705,0.08059302694,0.06194845991,300.216695,94052,0.7077238798,0.00025444264,0.413850185054821,0.300447175912532,11
"30",7,6,706,0.08480755123,0.08406889663,106.8449713,112975,0.1466968575,0.00070731586,0.251559888099954,0.12007181159573,11
"31",7,7,707,0.07520830187,0.1088780165,50.57785461,102625,0.06250031853,0.0015493209,0.120088232337284,0.213746670395229,127
"32",7,8,708,0.08339625766,0.08668885038,74.25564237,108728,0.1705189427,0.00027576444,0.283341796427409,0.312804186627796,62
"33",7,9,709,0.08036841585,0.08741758176,4142.091878,112490,0.1178691085,0.00066053821,0.209116453221491,0.0400792648240419,11
"34",7,10,710,0.07470810141,0.1012518598,30.84938498,98117,0.08723769945,0.00017957006,0.159582311560681,0.177073416931723,111
"35",7,11,711,0.06659757129,0.06593381295,52.0230013,71619,0.6924028777,1.726619e-05,0.425972886769989,0.245541586725852,62
"36",7,12,712,0.08385832023,0.09420314696,383.346981,114401,0.07412384446,0.00082273491,0.138781147770474,0.196628084574405,105
"37",7,13,713,0.07645765314,0.09642836553,85.92643221,91204,0.09499961148,0.00170447852,0.175028667548896,0.228826213296517,105
"38",8,1,801,0.1194725598,0.0388267716,3408.198726,116623,0.07526952576,0.00215338199,0.143181370293405,0.206524506244141,74
"39",8,3,803,0.1046315921,0.08145271814,320.2718158,101096,0.05881009325,0.00016660844,0.111016497211323,0.266681048468488,74
"40",8,4,804,0.1040110511,0.1243880483,3347.28249,115625,0.06119922254,0.00111104203,0.116991380815324,0.284784001880403,74
"41",8,5,805,0.1173868448,0.114983413,5.93156438,123970,0.07653744356,0.00020838573,0.141743712575278,0.692005791135463,10
"42",8,6,806,0.1226871703,0.1143198288,71.04576685,134199,0.04825528365,0.00022917593,0.0922895514174865,0.273300733829314,32
"43",9,1,901,0.04382892798,0.1277120454,13219.8277,105013,0.06774197675,0.0049476202,0.135481962035606,0.024463087470467,41
"44",9,2,902,0.04293024967,0.1807354785,11471.26127,115094,0.06896416632,0.01058556206,0.14790318711433,0.00298774477101572,41
"45",9,3,903,0.04486787411,0.170171506,11929.95287,119027,0.07532718081,0.01195268904,0.161124913074898,0.0362448218843082,41
"46",9,4,904,0.04138102469,0.1072906252,19091.29127,98682,0.06702378727,0.01233664713,0.147778409329419,0.0104567741662768,22
"47",9,5,905,0.03687911168,0.1339324804,1134.480405,90135,0.1214762611,0.01990197986,0.247616104089873,0.0318936894912094,33
"48",9,6,906,0.04702840216,0.1337672556,3773.493294,120968,0.1029802351,0.02342226355,0.22567387438398,0.0189620674506353,65
"49",9,7,907,0.04380728794,0.1645448449,16030.1119,104480,0.06038617668,0.00832859827,0.1289919737204,0.0233479832062881,41
"50",9,8,908,0.03445116656,0.1649786173,20763.89972,94067,0.0732999629,0.01738929499,0.16747870214197,0.0298786952653604,41
"51",9,9,909,0.04065535457,0.09995283943,4201.866918,94771,0.1463053413,0.03563519227,0.308103589563234,0.0616136142546804,22
"52",9,10,910,0.04086256075,0.1701272367,7719.319486,128042,0.05014282226,0.01437003175,0.12214299925079,0.0355955044232218,68
"53",9,11,911,0.03557779409,0.1656130045,11003.01451,94577,0.05982553119,0.01386989215,0.13818836316832,0.0454129311963727,41
"54",9,12,912,0.03758998136,0.154101989,14637.92543,125493,0.08810685693,0.02771646403,0.209700579625387,0.0392676611144358,37
"55",9,13,913,0.04376759585,0.1489440192,16873.41266,110174,0.06836720055,0.01739217314,0.159187515406723,0.0311025276012494,22
"56",9,14,914,0.03898996855,0.1310987007,10161.64498,100330,0.1154403603,0.01911784159,0.237318525430876,0.00851997246879208,44
"57",9,15,915,0.0468025833,0.1924842363,15651.84527,159700,0.09371705924,0.03000364145,0.222451483907922,0.0110982787388757,37
"58",9,16,916,0.04239272455,0.1466941384,15508.31726,108280,0.07925710024,0.01647508768,0.175746607583533,0.0214936506786495,37
"59",9,17,917,0.04435378302,0.1045740894,3190.052844,107801,0.09904038668,0.0232016098,0.219193574365548,0.00509738548084094,34
"60",9,18,918,0.04521153587,0.1463472098,13926.59897,112576,0.09078531642,0.01786839142,0.196940534363202,0.00906152482577537,22
"61",9,19,919,0.03675398067,0.136368351,15412.36245,90137,0.07330778899,0.02024124761,0.1725629109198,0.0155953921698617,22
"62",9,20,920,0.03991196877,0.1247889516,14769.24033,98451,0.04791255222,0.00684906493,0.104181877236467,0.0348997316630371,22
"63",9,21,921,0.04472502742,0.09632803275,1139.276605,99784,0.1598823727,0.01824827583,0.298635396443332,0.0901259293465396,30
"64",9,22,922,0.04190946772,0.0921327212,18284.37611,96358,0.1111494585,0.01202591927,0.218679756992086,0.0466924071121852,22
