"","ï..CVE_FED","CVE_ENT","distrito","MI","Indigena","Complejidad","IND_002","IND_002_LI","IND_002_LS","IND_002_EE","IND_002_CV","IND_824","IND_824_LI","IND_824_LS","IND_824_EE","IND_824_CV","IND_047","IND_047_LI","IND_047_LS","IND_047_EE","IND_047_CV","IND_055","IND_055_LI","IND_055_LS","IND_055_EE","IND_055_CV","IND_141","IND_141_LI","IND_141_LS","IND_141_EE","IND_141_CV","IND_128","IND_128_LI","IND_128_LS","IND_128_EE","IND_128_CV","Ethnic","ANP_Cercana","dist_min","c_ANPCercana","c_distmin"
"24",602,6,2,"","NO","Concentracion Media",49.46705379,47.84593761,51.08929134,0.985655903,1.992550248,8.991350863,8.504812668,9.502831803,0.303096321,3.370976463,101.949345,96.58606549,107.3126244,3.258660362,3.196352426,97187,92180.51232,102193.4877,3041.878204,3.129922936,21.91759018,20.33488973,23.58700295,0.988011604,4.507847787,0.15575837,0.111492984,0.217559897,0.031633867,20.30957789,77.92665145,178,0,141,55244.9635489598
"25",701,7,1,"","SI","Muy dispersos 1",7.359347846,7.071389194,7.65806632,0.178294422,2.422693234,7.562681639,7.355844977,7.774846188,0.127348927,1.683912309,55.22343416,53.02688979,57.41997853,1.335327269,2.418044603,85781,82502.36093,89059.63907,1993.156256,2.323540476,74.67292007,73.04944793,76.23041794,0.967044351,1.295040223,0.0111978,0.006282418,0.019958223,0.003934308,35.13464762,25.31588213,18,1133724.645,81,4107.79520838556
"26",702,7,2,"","SI","Dispersos 2",7.299419614,7.006348391,7.603747453,0.181550957,2.487197161,5.656681816,5.525939909,5.790327443,0.080357891,1.420583545,115.3177484,110.5971515,120.0383452,2.869753879,2.488562185,78270,75195.67769,81344.32231,1868.94764,2.387821184,77.31839938,75.99228247,78.59190122,0.790220394,1.022034083,0.27567955,0.163968912,0.463144637,0.087021351,31.56612477,22.40592107,11,1107616.051,11,43087.9783491426
"27",703,7,3,"","SI","Muy dispersos 1",7.469717749,7.159581337,7.792160992,0.19224024,2.573594427,5.053327278,4.838789621,5.276849448,0.133120157,2.634307048,29.56160253,28.29834226,30.8248628,0.767963495,2.597841216,75037,71766.06467,78307.93533,1988.472989,2.64998999,83.98231746,82.4923297,85.36799199,0.87376909,1.040420313,0.019499029,0.011370506,0.033436511,0.006393014,32.78631841,15.99818351,8,1174084.898,8,26773.8631533313
"28",704,7,4,"","NO","Dispersos 2",7.27199483,7.019480747,7.532856759,0.156023814,2.145543523,8.488691408,8.313808162,8.666905629,0.107322896,1.26430437,60.41752074,58.34599068,62.4890508,1.259328342,2.084376066,93708,90542.44382,96873.55618,1924.410702,2.053624772,32.12446567,30.66474281,33.6199818,0.898489219,2.796900119,0.087495981,0.05756699,0.132964307,0.022264383,25.44617849,67.78803835,11,1038824.937,139,55496.2864564921
"29",705,7,5,"","SI","Concentracion Media",8.059302694,7.482701866,8.676168388,0.362549846,4.49852623,6.194845991,5.884665106,6.520243829,0.193128436,3.11756638,300.216695,276.5025306,323.9308594,14.41635818,4.801984172,94052,86536.04444,101567.9556,4569.113449,4.858071544,70.77238798,67.53799617,73.80948717,1.90805402,2.696043011,0.025444264,0.013026478,0.049693702,0.010355291,40.69793971,29.20216776,11,1149966.322,11,51372.1471367084
"30",706,7,6,"","NO","Dispersos 1",8.480755123,7.924853047,9.071809884,0.348460857,4.108842338,8.406889663,8.080462702,8.745248729,0.202035227,2.403210162,106.8449713,99.41972939,114.2702131,4.513966617,4.224781535,112975,104846.7953,121103.2047,4941.313039,4.373811055,14.66968575,13.30544859,16.14774743,0.863487516,5.886203227,0.070731586,0.04663221,0.107272076,0.01791122,25.3228033,85.25958266,11,1038593.178,11,21332.5285596539
"31",707,7,7,"","NO","Muy dispersos 1",7.520830187,7.302621934,7.745013903,0.134456664,1.787790182,10.88780165,10.64910162,11.13118559,0.146528388,1.345803248,50.57785461,49.20451583,51.9511934,0.834882627,1.650688098,102625,99935.87351,105314.1265,1634.778695,1.592963406,6.250031853,5.637223659,6.924568358,0.39079429,6.252676781,0.15493209,0.115103942,0.208512763,0.027981816,18.06069751,93.59503606,130,1066304.916,127,36933.0904171706
"32",708,7,8,"","NO","Dispersos 2",8.339625766,7.921735202,8.777459623,0.260033328,3.118045526,8.668885038,8.403989571,8.941315008,0.163309483,1.883857985,74.25564237,70.27765838,78.23362636,2.418303301,3.256726659,108728,103278.6584,114177.3416,3312.773733,3.046845093,17.05189427,15.77748019,18.40675079,0.799021874,4.685824701,0.027576444,0.016388615,0.046398198,0.008723205,31.63281336,82.92052929,62,1183218.044,62,53430.0772207032
"33",709,7,9,"","NO","Altamente concentrado 2",8.036841585,7.38106926,8.745374808,0.414368802,5.155866239,8.741758176,8.160007349,9.360756429,0.364801497,4.1730907,4142.091878,3774.185115,4509.998642,223.6585527,5.399652138,112490,102561.5353,122418.4647,6035.730434,5.365570658,11.78691085,10.75424551,12.90439879,0.653125917,5.541111876,0.066053821,0.036834042,0.11842566,0.02344899,35.49982441,88.14703533,11,1123319.049,11,8010.61177168126
